condition,threshold,n,accepted,abstained,coverage,selective_accuracy,selective_risk,correct_accepted
qv,0.5,5228,848,4380,0.162203519510329,0.6014150943396226,0.3985849056603774,510
qv,0.6,5228,433,4795,0.08282325937260902,0.6789838337182448,0.3210161662817552,294
qv,0.7,5228,110,5118,0.021040550879877582,0.6545454545454545,0.34545454545454546,72
qv,0.8,5228,3,5225,0.0005738332058148432,0.3333333333333333,0.6666666666666667,1
qv,0.9,5228,0,5228,0.0,nan,nan,0
allattn,0.5,5228,1379,3849,0.2637719969395562,0.6294416243654822,0.37055837563451777,868
allattn,0.6,5228,794,4434,0.15187452180566183,0.7027707808564232,0.2972292191435768,558
allattn,0.7,5228,326,4902,0.06235654169854629,0.7699386503067485,0.23006134969325154,251
allattn,0.8,5228,44,5184,0.008416220351951033,0.9090909090909091,0.09090909090909094,40
allattn,0.9,5228,0,5228,0.0,nan,nan,0
