condition,method,bin,n,mean_confidence,empirical_accuracy,min_confidence,max_confidence
qv,uncalibrated_beam_share,1,523,0.2338216133278255,0.08795411089866156,0.1226769178568219,0.2800135165082418
qv,uncalibrated_beam_share,2,523,0.3108534623247289,0.18164435946462715,0.2801837966947156,0.33953855288749013
qv,uncalibrated_beam_share,3,523,0.3674711430167508,0.21032504780114722,0.33959487423126,0.3951489275404524
qv,uncalibrated_beam_share,4,523,0.4234302935448342,0.21414913957934992,0.3951623258694988,0.4515628192126543
qv,uncalibrated_beam_share,5,523,0.48063035982426,0.30592734225621415,0.4519189610041018,0.5105536539245406
qv,uncalibrated_beam_share,6,523,0.5430035808319038,0.3078393881453155,0.5108419739562492,0.579108211113292
qv,uncalibrated_beam_share,7,523,0.6187435553234583,0.384321223709369,0.5791134556655724,0.6580044430090225
qv,uncalibrated_beam_share,8,523,0.707240234662094,0.372848948374761,0.6580952718420777,0.7579794477284983
qv,uncalibrated_beam_share,9,522,0.8195170654095539,0.49616858237547895,0.7582038890125471,0.8847479273120957
qv,uncalibrated_beam_share,10,522,0.9415332939536701,0.6513409961685823,0.8848508176601685,1.0
qv,cross_fitted_logistic,1,523,0.10559981174540164,0.0994263862332696,0.025896890856097855,0.1357357028876062
qv,cross_fitted_logistic,2,523,0.15493339350077417,0.15487571701720843,0.1357947298384732,0.1722389453176738
qv,cross_fitted_logistic,3,523,0.1897477524844314,0.20076481835564053,0.17230579411619126,0.2074524676690914
qv,cross_fitted_logistic,4,523,0.2258920651266849,0.21606118546845124,0.20750647189293767,0.24490666755878857
qv,cross_fitted_logistic,5,523,0.2656490102948832,0.2638623326959847,0.2449105311882926,0.28720761359826197
qv,cross_fitted_logistic,6,523,0.31096522882266175,0.35181644359464626,0.28730923183558665,0.33482061150094033
qv,cross_fitted_logistic,7,523,0.3621065862060038,0.367112810707457,0.3348685187988109,0.3913145875753369
qv,cross_fitted_logistic,8,523,0.425366216419578,0.3938814531548757,0.3914462028994512,0.4643338451321925
qv,cross_fitted_logistic,9,522,0.5152636753180526,0.5134099616858238,0.4644519893227282,0.5741015350903358
qv,cross_fitted_logistic,10,522,0.6552152516808043,0.6513409961685823,0.5741900563589438,0.8082018439496185
allattn,uncalibrated_beam_share,1,523,0.27168993775958183,0.13766730401529637,0.0,0.3306471299447673
allattn,uncalibrated_beam_share,2,523,0.371426740286022,0.18164435946462715,0.33076292215118236,0.41272884250744557
allattn,uncalibrated_beam_share,3,523,0.4485524152289924,0.2676864244741874,0.4128059511729191,0.483488649683604
allattn,uncalibrated_beam_share,4,523,0.5171412800589723,0.3135755258126195,0.48351190304016944,0.5496950500182226
allattn,uncalibrated_beam_share,5,523,0.5864350667164228,0.34608030592734224,0.5499188316096363,0.6259130848282323
allattn,uncalibrated_beam_share,6,523,0.6635077494125751,0.34990439770554493,0.6259387527919263,0.7025204059747179
allattn,uncalibrated_beam_share,7,523,0.750142851122967,0.4168260038240918,0.7027066715327984,0.7959900706014081
allattn,uncalibrated_beam_share,8,523,0.8391488185995363,0.47418738049713194,0.7960094245009373,0.878278526819669
allattn,uncalibrated_beam_share,9,522,0.9173453884845373,0.6091954022988506,0.8782980135164494,0.954525181864702
allattn,uncalibrated_beam_share,10,522,0.9792264424091365,0.7222222222222222,0.9545301301512917,0.9998894886549482
allattn,cross_fitted_logistic,1,523,0.12746338121169426,0.13001912045889102,0.0,0.166069603921995
allattn,cross_fitted_logistic,2,523,0.19138622205614153,0.1701720841300191,0.16610587497367574,0.21455887607430182
allattn,cross_fitted_logistic,3,523,0.23768802976063458,0.2676864244741874,0.21459069230609987,0.26092816002876024
allattn,cross_fitted_logistic,4,523,0.2827383633368612,0.27533460803059273,0.26093570105773983,0.30323328965906526
allattn,cross_fitted_logistic,5,523,0.3280598703711275,0.3575525812619503,0.3033477232739347,0.3535794291028893
allattn,cross_fitted_logistic,6,523,0.3786074888019085,0.372848948374761,0.35360275803480945,0.4056107171075213
allattn,cross_fitted_logistic,7,523,0.4361209362250584,0.42065009560229444,0.40568489913451233,0.4709009088990765
allattn,cross_fitted_logistic,8,523,0.511259222645573,0.4722753346080306,0.47133721098800235,0.5512244338246007
allattn,cross_fitted_logistic,9,522,0.6014374145996085,0.6149425287356322,0.551276819078643,0.6530357648640331
allattn,cross_fitted_logistic,10,522,0.723892575598594,0.7375478927203065,0.6535047911018371,0.8929885744096602
