condition,target_coverage,actual_coverage,accepted,threshold_at_boundary,selective_accuracy,selective_risk
qv,0.05,0.05011476664116297,262,0.6461712849402417,0.7099236641221374,0.29007633587786263
qv,0.1,0.10003825554705432,523,0.5741015350903358,0.6500956022944551,0.34990439770554493
qv,0.15,0.1501530221882173,785,0.512590068012348,0.6140127388535032,0.38598726114649684
qv,0.2,0.20007651109410865,1046,0.4642962948971938,0.5822179732313576,0.4177820267686424
qv,0.25,0.25,1307,0.4242375459636572,0.5447589900535578,0.45524100994644223
qv,0.3,0.300114766641163,1569,0.39109549417919126,0.5194391332058637,0.48056086679413634
qv,0.35,0.3500382555470543,1830,0.361314317019944,0.5038251366120219,0.4961748633879781
qv,0.4,0.4001530221882173,2092,0.3347923897457108,0.48135755258126195,0.5186424474187381
qv,0.45,0.4500765110941086,2353,0.3109697615449715,0.4738631534211645,0.5261368465788355
qv,0.5,0.5,2614,0.28720761359826197,0.45524100994644223,0.5447589900535578
qv,0.55,0.550114766641163,2876,0.26461780291008913,0.4363699582753825,0.5636300417246175
qv,0.6,0.6000382555470544,3137,0.24490666755878857,0.4233343959196685,0.5766656040803315
qv,0.65,0.6501530221882172,3399,0.22601923959582124,0.40688437775816416,0.5931156222418359
qv,0.7,0.7000765110941086,3660,0.2074524676690914,0.39371584699453555,0.6062841530054645
qv,0.75,0.75,3921,0.18935207857588457,0.38153532262178014,0.6184646773782199
qv,0.8,0.800114766641163,4183,0.1722389453176738,0.3695912024862539,0.6304087975137461
qv,0.85,0.8500382555470544,4444,0.15579862240233872,0.3582358235823582,0.6417641764176418
qv,0.9,0.9001530221882172,4706,0.1357357028876062,0.34572885677858056,0.6542711432214194
qv,0.95,0.9500765110941086,4967,0.10963975494768977,0.3342057580028186,0.6657942419971814
qv,1.0,1.0,5228,0.025896890856097855,0.32115531752104054,0.6788446824789595
allattn,0.05,0.05011476664116297,262,0.7169786411626995,0.7900763358778626,0.20992366412213737
allattn,0.1,0.10003825554705432,523,0.6530357648640331,0.7380497131931166,0.26195028680688337
allattn,0.15,0.1501530221882173,785,0.601429109135529,0.7019108280254777,0.29808917197452234
allattn,0.2,0.20007651109410865,1046,0.5506791540876346,0.6759082217973231,0.3240917782026769
allattn,0.25,0.25,1307,0.5110496976827318,0.6411629686304514,0.3588370313695486
allattn,0.3,0.300114766641163,1569,0.4708631113545375,0.6080305927342257,0.39196940726577434
allattn,0.35,0.3500382555470543,1830,0.4357387914839618,0.5797814207650274,0.42021857923497263
allattn,0.4,0.4001530221882173,2092,0.40554212624937297,0.5607074569789675,0.4392925430210325
allattn,0.45,0.4500765110941086,2353,0.37777493508983023,0.5350616234594135,0.46493837654058645
allattn,0.5,0.5,2614,0.3535794291028893,0.5237184391736802,0.4762815608263198
allattn,0.55,0.550114766641163,2876,0.32689140408254047,0.5100834492350487,0.48991655076495133
allattn,0.6,0.6000382555470544,3137,0.30323328965906526,0.4956965253426841,0.5043034746573158
allattn,0.65,0.6501530221882172,3399,0.28293464182035793,0.4816122388937923,0.5183877611062078
allattn,0.7,0.7000765110941086,3660,0.26092816002876024,0.464207650273224,0.535792349726776
allattn,0.75,0.75,3921,0.23755509393650664,0.4506503442999235,0.5493496557000765
allattn,0.8,0.800114766641163,4183,0.21455887607430182,0.43987568730576143,0.5601243126942386
allattn,0.85,0.8500382555470544,4444,0.19181216095834028,0.4237173717371737,0.5762826282628263
allattn,0.9,0.9001530221882172,4706,0.166069603921995,0.4096897577560561,0.5903102422439439
allattn,0.95,0.9500765110941086,4967,0.13304016253413403,0.3956110328165895,0.6043889671834105
allattn,1.0,1.0,5228,0.0,0.3817903596021423,0.6182096403978576
