fold,condition,n,top1,top3,top5,top10,invalid_top10,prediction_dir
0,qv,1046,0.3240917782026769,0.5898661567877629,0.7179732313575525,0.8030592734225621,0,predictions/vgwd_main_grouped_cv/fold0/qv/checkpoint-3500/VGWD_GROUPED_CV/1788515302_oof_fold0_full_main_grouped_cv_fold0_qv_seed123_beam10
0,allattn,1046,0.3632887189292543,0.6500956022944551,0.7782026768642447,0.8527724665391969,0,predictions/vgwd_main_grouped_cv/fold0/allattn/checkpoint-3500/VGWD_GROUPED_CV/1788517937_oof_fold0_full_main_grouped_cv_fold0_allattn_seed123_beam10
1,qv,1046,0.30401529636711283,0.5736137667304015,0.6873804971319312,0.8164435946462715,0,predictions/vgwd_main_grouped_cv/fold1/qv/checkpoint-3500/VGWD_GROUPED_CV/1788528729_oof_fold1_full_main_grouped_cv_fold1_qv_seed123_beam10
1,allattn,1046,0.35850860420650094,0.6252390057361377,0.7380497131931166,0.8432122370936902,0,predictions/vgwd_main_grouped_cv/fold1/allattn/checkpoint-3500/VGWD_GROUPED_CV/1788531377_oof_fold1_full_main_grouped_cv_fold1_allattn_seed123_beam10
2,qv,1046,0.32122370936902483,0.5994263862332696,0.7026768642447419,0.8021032504780115,0,predictions/vgwd_main_grouped_cv/fold2/qv/checkpoint-3500/VGWD_GROUPED_CV/1788533671_oof_fold2_full_main_grouped_cv_fold2_qv_seed123_beam10
2,allattn,1046,0.4024856596558317,0.6644359464627151,0.7705544933078394,0.8489483747609943,0,predictions/vgwd_main_grouped_cv/fold2/allattn/checkpoint-3500/VGWD_GROUPED_CV/1788536350_oof_fold2_full_main_grouped_cv_fold2_allattn_seed123_beam10
3,qv,1045,0.33014354066985646,0.6028708133971292,0.7167464114832536,0.8172248803827751,0,predictions/vgwd_main_grouped_cv/fold3/qv/checkpoint-3500/VGWD_GROUPED_CV/1788538632_oof_fold3_full_main_grouped_cv_fold3_qv_seed123_beam10
3,allattn,1045,0.3866028708133971,0.6660287081339713,0.7799043062200957,0.8583732057416268,0,predictions/vgwd_main_grouped_cv/fold3/allattn/checkpoint-3500/VGWD_GROUPED_CV/1788541225_oof_fold3_full_main_grouped_cv_fold3_allattn_seed123_beam10
4,qv,1045,0.3263157894736842,0.5913875598086125,0.7014354066985646,0.7952153110047847,0,predictions/vgwd_main_grouped_cv/fold4/qv/checkpoint-3500/VGWD_GROUPED_CV/1788543493_oof_fold4_full_main_grouped_cv_fold4_qv_seed123_beam10
4,allattn,1045,0.3980861244019139,0.6507177033492823,0.7569377990430622,0.8641148325358852,0,predictions/vgwd_main_grouped_cv/fold4/allattn/checkpoint-3500/VGWD_GROUPED_CV/1788546071_oof_fold4_full_main_grouped_cv_fold4_allattn_seed123_beam10
