dimension,group,n,mean_qv_top1_percent,mean_all_attention_top1_percent,mean_top1_gain_pp,positive_top1_seeds,mean_qv_top10_percent,mean_all_attention_top10_percent,mean_top10_gain_pp,positive_top10_seeds
max_mz_bin,100-199,313,34.291799787007456,39.72310969116081,5.431309904153353,3,84.87752928647497,89.56336528221512,4.685835995740151,3
max_mz_bin,200-299,299,32.99888517279822,41.58305462653289,8.584169453734672,3,82.60869565217392,88.2943143812709,5.685618729096986,3
max_mz_bin,300-399,50,22.0,28.0,5.999999999999999,3,65.33333333333333,74.0,8.666666666666666,3
max_mz_bin,400-500,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
max_mz_bin,<100,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
molecular_weight_bin,150-249,343,38.58114674441205,44.800777453838684,6.219630709426628,3,88.43537414965986,91.05928085519922,2.6239067055393583,3
molecular_weight_bin,250-349,255,28.235294117647058,35.29411764705882,7.058823529411764,3,80.65359477124183,88.62745098039215,7.973856209150327,3
molecular_weight_bin,<150,31,17.204301075268816,25.806451612903228,8.60215053763441,3,51.61290322580644,63.44086021505376,11.827956989247314,3
molecular_weight_bin,>=350,35,20.952380952380953,31.428571428571427,10.476190476190476,3,58.095238095238095,66.66666666666667,8.571428571428575,3
peak_count_bin,25-49,376,35.10638297872341,42.99645390070922,7.890070921985817,3,84.13120567375886,89.36170212765957,5.230496453900713,3
peak_count_bin,50-99,220,30.606060606060606,36.06060606060606,5.454545454545453,3,81.66666666666667,87.27272727272727,5.606060606060606,3
peak_count_bin,<25,17,9.803921568627452,13.72549019607843,3.9215686274509802,2,49.01960784313726,58.8235294117647,9.803921568627453,2
peak_count_bin,>=100,51,31.372549019607845,37.908496732026144,6.535947712418301,3,80.3921568627451,84.9673202614379,4.575163398692813,2
scaffold_status,acyclic,518,33.59073359073359,39.7039897039897,6.113256113256113,3,84.23423423423424,88.41698841698842,4.182754182754185,3
scaffold_status,train_seen,141,29.78723404255319,39.95271867612293,10.16548463356974,3,75.6501182033097,85.57919621749409,9.9290780141844,3
scaffold_status,train_unseen,5,20.0,13.333333333333334,-6.666666666666667,0,46.666666666666664,53.333333333333336,6.666666666666665,1
stereo_annotated,False,651,33.333333333333336,40.348182283666155,7.014848950332819,3,83.76856118791602,89.29851510496673,5.529953917050693,3
stereo_annotated,True,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0
